;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
2;Invincible;I) (2014;Tous publics avec avertissement;137;['Action', ' Biography', ' Drama            '];7.2;59;After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.;['Angelina Jolie', None];"[""Jack O'Connell"", 'Miyavi', 'Domhnall Gleeson', 'Garrett Hedlund']"
3;No One Killed Jessica;2011;NaN;136;['Biography', ' Crime', ' Drama            '];7.2;-1;A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case.;['Raj Kumar Gupta', None];['Rani Mukerji', 'Vidya Balan', 'Myra Karn', 'Neil Bhoopalam']
4;Kon-Tiki;2012;Tous publics;118;['Action', ' Adventure', ' Biography            '];7.2;62;Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.;['    Directors:', 'Joachim Rønning, ', 'Espen Sandberg', None];['Pål Sverre Hagen', 'Anders Baasmo', 'Gustaf Skarsgård', 'Odd-Magnus Williamson']
5;Mémoires de jeunesse;2014;Tous publics;129;['Biography', ' Drama', ' History            '];7.2;76;A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times.;['James Kent', None];['Alicia Vikander', 'Kit Harington', 'Taron Egerton', 'Dominic West']
6;Le majordome;I) (2013;Tous Public;132;['Biography', ' Drama            '];7.2;65;As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.;['Lee Daniels', None];['Forest Whitaker', 'Oprah Winfrey', 'John Cusack', 'Jane Fonda']
7;Conviction;II) (2010;R;107;['Biography', ' Crime', ' Drama            '];7.2;61;A working mother puts herself through law school in an effort to represent her brother, who has been wrongfully convicted of murder and has exhausted his chances to appeal his conviction through public defenders.;['Tony Goldwyn', None];['Hilary Swank', 'Sam Rockwell', 'Melissa Leo', 'Thomas D. Mahard']
8;Des hommes sans loi;2012;12;116;['Biography', ' Crime', ' Drama            '];7.2;58;Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.;['John Hillcoat', None];['Tom Hardy', 'Shia LaBeouf', 'Guy Pearce', 'Jason Clarke']
9;Secrétariat;2010;Tous publics;123;['Biography', ' Drama', ' Family            '];7.2;61;Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.;['Randall Wallace', None];['Diane Lane', 'John Malkovich', 'Margo Martindale', 'Nelsan Ellis']
10;Victoria - Les jeunes années d'une reine;2009;Tous Public;105;['Biography', ' Drama', ' History            '];7.2;64;A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.;['Jean-Marc Vallée', None];['Emily Blunt', 'Rupert Friend', 'Paul Bettany', 'Miranda Richardson']
11;Che - 1ère partie - L'Argentin;2008;Tous publics;134;['Biography', ' Drama', ' History            '];7.2;-1;In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.;['Steven Soderbergh', None];['Julia Ormond', 'Benicio Del Toro', 'Oscar Isaac', 'Pablo Guevara']
12;American Crime;2007;12;98;['Biography', ' Crime', ' Drama            '];7.2;-1;The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.;"[""Tommy O'Haver"", None]";['Elliot Page', 'Hayley McFarland', 'Nick Searcy', 'Romy Rosemont']
13;L'Homme qui défiait l'infini;2015;Tous Public;108;['Biography', ' Drama            '];7.2;56;The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy.;['Matt Brown', None];['Dev Patel', 'Jeremy Irons', 'Malcolm Sinclair', 'Raghuvir Joshi']
14;The Express;2008;PG;130;['Biography', ' Drama', ' Sport            '];7.2;58;A drama based on the life of college football hero Ernie Davis, the first African-American to win the Heisman Trophy.;['Gary Fleder', None];['Rob Brown', 'Dennis Quaid', 'Clancy Brown', 'Darrin Dewitt Henson']
