;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
11;Pyramide;2014;12;89;['Horror', ' Mystery', ' Thriller            '];4.6;24;An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.;['Grégory Levasseur', None];"['Ashley Hinshaw', 'James Buckley', ""Denis O'Hare"", 'Christa Nicola']"
12;Paranormal Activity 5: Ghost Dimension;2015;Tous publics avec avertissement;88;['Horror', ' Mystery            '];4.6;30;Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.;['Gregory Plotkin', None];['Chris J. Murray', 'Brit Shaw', 'Ivy George', 'Dan Gill']
13;Paranormal Activity 4;2012;Tous publics;88;['Horror', ' Mystery            '];4.6;40;It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.;['    Directors:', 'Henry Joost, ', 'Ariel Schulman', None];['Stephen Dunham', 'Katie Featherston', 'Matt Shively', 'Brendon Eggertsen']
14;The Grudge 3;2009;R;90;['Horror', ' Mystery', ' Thriller            '];4.6;-1;A young Japanese woman who holds the key to stopping the evil spirit of Kayako, travels to the haunted Chicago apartment from the sequel, to stop the curse of Kayako once and for all.;['Toby Wilkins', None];['Matthew Knight', 'Shawnee Smith', 'Mike Straub', 'Aiko Horiuchi']
15;Shrooms;2007;12;84;['Comedy', ' Horror', ' Mystery            '];4.6;-1;A group of friends are stalked and murdered whilst looking for psilocybin mushrooms in the Irish woods.;['Paddy Breathnach', None];['Lindsey Haun', 'Jack Huston', 'Max Kasch', 'Maya Hazen']
16;Captivity;2007;16;96;['Crime', ' Horror', ' Mystery            '];4.6;24;A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed.;['Roland Joffé', None];['Elisha Cuthbert', 'Daniel Gillies', 'Pruitt Taylor Vince', 'Michael Harney']
17;Psycho;1998;12;105;['Horror', ' Mystery', ' Thriller            '];4.6;47;A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.;['Gus Van Sant', None];['Vince Vaughn', 'Anne Heche', 'Julianne Moore', 'Viggo Mortensen']
18;Mira, la fille du train;2021;16;120;['Crime', ' Drama', ' Mystery            '];4.5;-1;The story follows a recent divorcee who spends her daily commute fantasizing about a seemingly perfect couple who live in a house that her train passes daily, but something shocking happens there one day.;['Ribhu Dasgupta', None];['Parineeti Chopra', 'Aditi Rao Hydari', 'Kirti Kulhari', 'Rajiv Chabria']
19;Ouija;II) (2014;12;89;['Horror', ' Mystery', ' Thriller            '];4.5;38;A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.;['Stiles White', None];['Olivia Cooke', 'Ana Coto', 'Daren Kagasoff', 'Bianca A. Santos']
20;Le Cercle: Rings;2017;12;102;['Drama', ' Horror', ' Mystery            '];4.5;25;A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.;['F. Javier Gutiérrez', None];"['Matilda Anna Ingrid Lutz', 'Alex Roe', 'Johnny Galecki', ""Vincent D'Onofrio""]"
21;Killers Anonymous;2019;Accord parental;95;['Action', ' Crime', ' Mystery            '];4.4;22;A support group of killers is held regularly. The participants sit in a circle of trust and share their transgressions.;['Martin Owen', None];['Tommy Flanagan', 'Rhyon Nicole Brown', 'MyAnna Buring', 'Michael Socha']
22;400 Days;2015;Accord parental;91;['Mystery', ' Sci-Fi', ' Thriller            '];4.4;-1;With their 400-day mission simulation nearing completion, 4 astronauts begin to feel something's amiss.;['Matt Osterman', None];['Brandon Routh', 'Dane Cook', 'Caity Lotz', 'Ben Feldman']
23;Basic Instinct 2;2006;12;114;['Drama', ' Mystery', ' Thriller            '];4.4;26;Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.;['Michael Caton-Jones', None];['Sharon Stone', 'David Morrissey', 'David Thewlis', 'Stan Collymore']
24;The Bye Bye Man;2017;PG-13;96;['Drama', ' Fantasy', ' Horror            '];4.3;37;Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.;['Stacy Title', None];['Douglas Smith', 'Lucien Laviscount', 'Cressida Bonas', 'Michael Trucco']
25;Suspicions;III) (2016;10;102;['Crime', ' Drama', ' Mystery            '];4.3;23;A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.;['Gee Malik Linton', None];['Ana de Armas', 'Keanu Reeves', 'Christopher McDonald', 'Mira Sorvino']
26;Urban Legend 2: Coup de grâce;2000;Tous publics;97;['Horror', ' Mystery            '];4.3;16;A film school is the center of a fresh spate of killings based on urban legends.;['John Ottman', None];['Jennifer Morrison', 'Matthew Davis', 'Hart Bochner', 'Loretta Devine']
27;The Recall;2017;12;90;['Action', ' Horror', ' Mystery            '];4.2;-1;When five friends vacation at a remote lake house they expect nothing less than a good time, unaware that planet Earth is under an alien invasion and mass-abduction.;['Mauro Borrelli', None];['Wesley Snipes', 'RJ Mitte', 'Jedidiah Goodacre', 'Laura Bilgeri']
28;Yoga Hosers;2016;PG-13;88;['Action', ' Comedy', ' Horror            '];4.2;23;Two teenage yoga enthusiasts must do battle with an evil presence that is threatening to rise from its underground lair and endanger their major party plans.;['Kevin Smith', None];['Lily-Rose Depp', 'Harley Quinn Smith', 'Johnny Depp', 'Adam Brody']
29;Gallows;2015;12;81;['Horror', ' Mystery', ' Thriller            '];4.2;30;20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.;['    Directors:', 'Travis Cluff, ', 'Chris Lofing', None];['Reese Mishler', 'Pfeifer Brown', 'Ryan Shoos', 'Cassidy Gifford']
30;Zone 51;2015;R;91;['Horror', ' Mystery', ' Sci-Fi            '];4.2;30;Three young conspiracy theorists attempt to uncover the mysteries of Area 51, the government's secret location rumored to have hosted encounters with alien beings. What they find at this hidden facility exposes unimaginable secrets.;['Oren Peli', None];['Reid Warner', 'Darrin Bragg', 'Ben Rovner', 'Jelena Nik']
31;Wounds;2019;16;95;['Drama', ' Horror', ' Mystery            '];4.1;51;Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.;['Babak Anvari', None];['Armie Hammer', 'Zazie Beetz', 'Karl Glusman', 'Christin Rankins']
32;The Baby;2014;12;89;['Horror', ' Mystery            '];4.1;34;After a mysterious, lost night on their honeymoon, a newlywed couple finds themselves dealing with an earlier-than-planned pregnancy.;['    Directors:', 'Matt Bettinelli-Olpin, ', 'Tyler Gillett', None];['Allison Miller', 'Zach Gilford', 'Sam Anderson', 'Roger Payano']
33;L'emprise du vice;2022;13;94;['Crime', ' Drama', ' Mystery            '];4.1;-1;When her sister is killed and her double life as a webcam performer is revealed, Grace ignores the warnings of a cool-headed detective and gets involved in the case.;['Monika Mitchell', None];['Alyssa Milano', 'Sam Page', 'Malachi Weir', 'Emilie Ullerup']
34;Boogeyman - La porte des cauchemars;2005;12;89;['Drama', ' Horror', ' Mystery            '];4.1;32;A young man tries to deal with the childhood terror that has never stopped haunting him.;['Stephen Kay', None];['Barry Watson', 'Emily Deschanel', 'Lucy Lawless', 'Skye McCole Bartusiak']
35;One Missed Call;2008;12;87;['Horror', ' Mystery            '];4.0;24;Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.;['Eric Valette', None];['Edward Burns', 'Shannyn Sossamon', 'Ana Claudia Talancón', 'Ray Wise']
36;Blair Witch 2: Le Livre des ombres;2000;12;90;['Adventure', ' Fantasy', ' Horror            '];4.0;15;A group of tourists arrives in Burkittsville, Maryland after seeing Le projet Blair Witch (1999) to explore the mythology and phenomenon, only to come face to face with their own neuroses and possibly the witch herself.;['Joe Berlinger', None];['Jeffrey Donovan', 'Stephen Barker Turner', 'Erica Leerhsen', 'Kurt Loder']
37;The Turning;2020;12;94;['Drama', ' Horror', ' Mystery            '];3.9;35;"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""";['Floria Sigismondi', None];['Mackenzie Davis', 'Finn Wolfhard', 'Brooklynn Prince', 'Barbara Marten']
38;11;2011;PG-13;90;['Horror', ' Mystery', ' Thriller            '];3.9;26;After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.;['Darren Lynn Bousman', None];['Timothy Gibbs', 'Michael Landes', 'Brendan Price', 'Wendy Glenn']
39;Séduction Fatale;2018;12;118;['Crime', ' Mystery', ' Thriller            '];3.9;16;Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.;['Mathew Cullen', None];['Jaimie Alexander', 'Amber Heard', 'Cara Delevingne', 'Theo James']
40;Holmes & Watson;2018;PG-13;90;['Comedy', ' Crime', ' Mystery            '];3.9;24;A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.;['Etan Cohen', None];['Will Ferrell', 'John C. Reilly', 'Ralph Fiennes', 'Rebecca Hall']
41;Évasion 2: Le Labyrinthe d'Hadès;2018;Tous publics;96;['Action', ' Crime', ' Mystery            '];3.8;-1;Years after he fought his way out of an inescapable prison, Ray Breslin has organized a new top-notch security force. But when one of his team members goes missing, Breslin must return to the hell he once escaped from.;['Steven C. Miller', None];['Sylvester Stallone', 'Dave Bautista', 'Xiaoming Huang', 'Jesse Metcalfe']
42;The Wicker Man;2006;Tous publics;102;['Horror', ' Mystery', ' Thriller            '];3.7;36;A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.;['Neil LaBute', None];['Nicolas Cage', 'Ellen Burstyn', 'Leelee Sobieski', 'Kate Beahan']
43;Fog;2005;Tous publics;100;['Horror', ' Mystery            '];3.7;27;A thick mist full of vengeful spirits haunts a prosperous island town off the coast of Oregon, as its inhabitants try to learn their town's dark secret in order to stop it.;['Rupert Wainwright', None];['Tom Welling', 'Maggie Grace', 'Selma Blair', 'DeRay Davis']
44;Donnie Darko 2 : L'Héritage du sang;2009;Accord parental;103;['Drama', ' Mystery', ' Sci-Fi            '];3.6;-1;Donnie Darko's little sister Samantha and her best friend Corey are on a cross-country road trip, but soon find themselves entangled in a dangerous glitch in the time-space continuum.;['Chris Fisher', None];['Daveigh Chase', 'Briana Evigan', 'James Lafferty', 'Ed Westwick']
45;I Know Who Killed Me;2007;R;106;['Horror', ' Mystery', ' Thriller            '];3.6;16;A young woman who was missing reappears, but she claims to be someone else entirely.;['Chris Sivertson', None];['Lindsay Lohan', 'Julia Ormond', 'Neal McDonough', 'Bonnie Aarons']
46;Ballistic;2002;Tous publics;91;['Action', ' Crime', ' Mystery            '];3.6;19;Tasked with destroying each other, an FBI agent and a rogue DIA agent soon discover that a much bigger enemy is at work.;['Wych Kaosayananda', None];['Antonio Banderas', 'Lucy Liu', 'Talisa Soto', 'Gregg Henry']
47;Black Christmas;2019;12;92;['Horror', ' Mystery', ' Thriller            '];3.5;49;A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.;['Sophia Takal', None];"['Imogen Poots', 'Aleyse Shannon', 'Lily Donoghue', ""Brittany O'Grady""]"
48;Slender Man;2018;12;93;['Horror', ' Mystery', ' Thriller            '];3.2;30;In a small town in Massachusetts, a group of friends, fascinated by the internet lore of the Slender Man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing.;['Sylvain White', None];['Joey King', 'Julia Goldani Telles', 'Jaz Sinclair', 'Annalise Basso']
