;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
33;Le port de l'angoisse;1944;Tous Public;100;['Adventure', ' Comedy', ' Film-Noir            '];7.8;90;During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.;['Howard Hawks', None];['Humphrey Bogart', 'Lauren Bacall', 'Walter Brennan', 'Dolores Moran']
34;Parvana, une enfance en Afghanistan;2017;Tous publics;94;['Animation', ' Drama', ' Family            '];7.7;78;In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.;['Nora Twomey', None];['Saara Chaudry', 'Soma Chhaya', 'Noorin Gulamgaus', 'Laara Sadiq']
35;Le vent se lève;2013;Tous publics;126;['Animation', ' Biography', ' Drama            '];7.7;83;A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.;['Hayao Miyazaki', None];['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']
36;Beasts of No Nation;2015;NaN;137;['Drama', ' War            '];7.7;79;A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.;['Cary Joji Fukunaga', None];['Abraham Attah', 'Emmanuel Affadzi', 'Ricky Adelayitor', 'Andrew Adote']
37;City of Life and Death;2009;12;133;['Drama', ' History', ' War            '];7.7;85;In 1937, Japan occupied Nanjing, the Chinese capital. There was a battle and subsequent atrocities against the inhabitants, especially those who took refuge in the International Security Zone.;['Chuan Lu', None];['Ye Liu', 'Wei Fan', 'Hideo Nakaizumi', 'Yuanyuan Gao']
38;Le garçon au pyjama rayé;2008;12;94;['Drama', ' War            '];7.7;55;Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.;['Mark Herman', None];"['Asa Butterfield', 'David Thewlis', 'Rupert Friend', ""Zac Mattoon O'Brien""]"
39;Joyeux Noël;2005;Tous publics;116;['Drama', ' History', ' Music            '];7.7;70;In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.;['Christian Carion', None];['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet', 'Natalie Dessay']
40;Black Book;2006;Tous publics avec avertissement;145;['Drama', ' Thriller', ' War            '];7.7;71;In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.;['Paul Verhoeven', None];['Carice van Houten', 'Sebastian Koch', 'Thom Hoffman', 'Halina Reijn']
41;La chute du faucon noir;2001;12;144;['Action', ' Drama', ' History            '];7.7;74;The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis.;['Ridley Scott', None];['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']
42;Le dernier des Mohicans;1992;Tous publics;112;['Action', ' Adventure', ' Drama            '];7.7;76;Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.;['Michael Mann', None];['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']
43;Empire du Soleil;1987;Tous publics;153;['Drama', ' History', ' War            '];7.7;62;A young English boy struggles to survive under Japanese occupation of China during World War II.;['Steven Spielberg', None];['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers']
44;Quand souffle le vent;1986;Tous Public;84;['Animation', ' Comedy', ' Drama            '];7.7;-1;A naive elderly British rural couple survive the initial onslaught of a nuclear war.;['Jimmy T. Murakami', None];['Peggy Ashcroft', 'John Mills', 'Robin Houston', 'James Russell']
45;Guerre et amour;1975;Tous publics;85;['Comedy', ' War            '];7.7;89;In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.;['Woody Allen', None];['Woody Allen', 'Diane Keaton', 'Georges Adet', 'Frank Adu']
46;Les douze salopards;1967;Tous publics;150;['Action', ' Adventure', ' War            '];7.7;73;During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.;['Robert Aldrich', None];['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'John Cassavetes']
47;Zoulou;1964;Tous publics;138;['Drama', ' History', ' War            '];7.7;77;Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.;['Cy Endfield', None];['Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson', 'James Booth']
48;Le jour le plus long;1962;Tous publics;178;['Action', ' Drama', ' History            '];7.7;75;The events of D-Day, told on a grand scale from both the Allied and German points of view.;['    Directors:', 'Ken Annakin, ', 'Andrew Marton, ', 'Gerd Oswald, ', 'Bernhard Wicki, ', 'Darryl F. Zanuck', None];['John Wayne', 'Robert Ryan', 'Richard Burton', 'Henry Fonda']
49;Ouragan sur le Caine;1954;12;124;['Drama', ' War            '];7.7;63;When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.;['Edward Dmytryk', None];['Humphrey Bogart', 'José Ferrer', 'Van Johnson', 'Fred MacMurray']
0;Stalag 17;1953;Tous Public;120;['Comedy', ' Drama', ' War            '];8.0;84;After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.;['Billy Wilder', None];['William Holden', 'Don Taylor', 'Otto Preminger', 'Robert Strauss']
1;Une question de vie ou de mort;1946;Tous publics;104;['Drama', ' Fantasy', ' Romance            '];8.0;-1;A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.;['    Directors:', 'Michael Powell, ', 'Emeric Pressburger', None];['David Niven', 'Kim Hunter', 'Robert Coote', 'Kathleen Byron']
2;Colonel Blimp;1943;Tous publics;163;['Drama', ' Romance', ' War            '];8.0;-1;From the Boer War through World War II, a soldier rises through the ranks in the British military.;['    Directors:', 'Michael Powell, ', 'Emeric Pressburger', None];['Roger Livesey', 'Deborah Kerr', 'Anton Walbrook', 'James McKechnie']
3;Le cuirassé Potemkine;1925;Tous publics;75;['Drama', ' History', ' Thriller            '];8.0;97;In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.;['Sergei Eisenstein', None];['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']
4;Jojo Rabbit;2019;Tous publics;108;['Comedy', ' Drama', ' War            '];7.9;58;A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.;['Taika Waititi', None];['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']
5;Lettres d'Iwo Jima;2006;Tous publics;141;['Action', ' Adventure', ' Drama            '];7.9;89;The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.;['Clint Eastwood', None];['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryô Kase']
