;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
6;Spare Parts;I) (2015;PG-13;114;['Biography', ' Drama', ' History            '];7.2;50;Four Mexican high school students form a robotics club. With no experience, 800 bucks, used car parts and a dream, this rag tag team goes up against the country's reigning robotics champion, MIT.;['Sean McNamara', None];['George Lopez', 'Jamie Lee Curtis', 'Carlos PenaVega', 'Marisa Tomei']
7;L'Oracle;2013;Tous publics;155;['Adventure', ' Drama', ' History            '];7.2;-1;In 11th-century Persia, a surgeon's apprentice disguises himself as a Jew to study at a school that does not admit Christians.;['Philipp Stölzl', None];['Tom Payne', 'Stellan Skarsgård', 'Olivier Martinez', 'Emma Catherine Rigby']
8;Kon-Tiki;2012;Tous publics;118;['Action', ' Adventure', ' Biography            '];7.2;62;Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.;['    Directors:', 'Joachim Rønning, ', 'Espen Sandberg', None];['Pål Sverre Hagen', 'Anders Baasmo', 'Gustaf Skarsgård', 'Odd-Magnus Williamson']
9;Cheval de guerre;2011;Tous publics;146;['Action', ' Adventure', ' Drama            '];7.2;72;Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.;['Steven Spielberg', None];['Jeremy Irvine', 'Emily Watson', 'David Thewlis', 'Benedict Cumberbatch']
10;Mémoires de jeunesse;2014;Tous publics;129;['Biography', ' Drama', ' History            '];7.2;76;A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times.;['James Kent', None];['Alicia Vikander', 'Kit Harington', 'Taron Egerton', 'Dominic West']
11;Polytechnique;2009;NaN;77;['Crime', ' Drama', ' History            '];7.2;63;A dramatization of the 1989 Montréal Massacre, during which several female engineering students were murdered by an unstable misogynist.;['Denis Villeneuve', None];['Maxim Gaudette', 'Sébastien Huberdeau', 'Karine Vanasse', 'Martin Watier']
12;Secrétariat;2010;Tous publics;123;['Biography', ' Drama', ' Family            '];7.2;61;Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.;['Randall Wallace', None];['Diane Lane', 'John Malkovich', 'Margo Martindale', 'Nelsan Ellis']
13;Victoria - Les jeunes années d'une reine;2009;Tous Public;105;['Biography', ' Drama', ' History            '];7.2;64;A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.;['Jean-Marc Vallée', None];['Emily Blunt', 'Rupert Friend', 'Paul Bettany', 'Miranda Richardson']
14;Che - 1ère partie - L'Argentin;2008;Tous publics;134;['Biography', ' Drama', ' History            '];7.2;-1;In 1956, Ernesto 'Che' Guevara and a band of Castro-led Cuban exiles mobilize an army to topple the regime of dictator Fulgencio Batista.;['Steven Soderbergh', None];['Julia Ormond', 'Benicio Del Toro', 'Oscar Isaac', 'Pablo Guevara']
15;Le mystificateur;2003;Tous publics;94;['Drama', ' History            '];7.2;73;The story of a young journalist who fell from grace when it was discovered he fabricated over half of his articles from the publication The New Republic magazine.;['Billy Ray', None];['Hayden Christensen', 'Chloë Sevigny', 'Steve Zahn', 'Peter Sarsgaard']
16;Kingdom of Heaven;2005;Tous publics;144;['Action', ' Adventure', ' Drama            '];7.2;63;Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.;['Ridley Scott', None];['Orlando Bloom', 'Eva Green', 'Liam Neeson', 'Martin Hancock']
17;The Dish;2000;Tous publics;101;['Comedy', ' Drama', ' History            '];7.2;74;A remote Australian community, populated by quirky characters, plays a key role in the first Apollo moon landing.;['Rob Sitch', None];['Sam Neill', 'Billy Mitchell', 'Roz Hammond', 'Christopher-Robin Street']
