;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
29;Super Dark Times;2017;NaN;103;['Crime', ' Drama', ' Horror            '];6.6;75;Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.;['Kevin Phillips', None];['Owen Campbell', 'Charlie Tahan', 'Elizabeth Cappuccino', 'Amy Hargreaves']
30;Mother;2017;12;121;['Drama', ' Horror', ' Mystery            '];6.6;75;A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.;['Darren Aronofsky', None];['Jennifer Lawrence', 'Javier Bardem', 'Ed Harris', 'Michelle Pfeiffer']
31;Pas un bruit;I) (2016;16;82;['Horror', ' Thriller            '];6.6;67;A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.;['Mike Flanagan', None];['John Gallagher Jr.', 'Kate Siegel', 'Michael Trucco', 'Samantha Sloyan']
32;Lords of Chaos;2018;16;118;['Biography', ' Drama', ' Horror            '];6.6;48;A teenager's quest to launch Norwegian Black Metal in Oslo in the early 1990s results in a very violent outcome.;['Jonas Åkerlund', None];['Rory Culkin', 'Emory Cohen', 'Jack Kilmer', 'Sky Ferreira']
33;The Last Girl - Celle qui a tous les dons;2016;R;111;['Action', ' Adventure', ' Drama            '];6.6;67;A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.;['Colm McCarthy', None];['Sennia Nanua', 'Fisayo Akinade', 'Dominique Tipper', 'Paddy Considine']
34;Overlord;2018;16;110;['Action', ' Horror', ' Sci-Fi            '];6.6;60;A small group of American soldiers find horror behind enemy lines on the eve of D-Day.;['Julius Avery', None];['Jovan Adepo', 'Wyatt Russell', 'Mathilde Ollivier', 'Pilou Asbæk']
35;Bird Box;2018;16;124;['Horror', ' Mystery', ' Sci-Fi            '];6.6;51;Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.;['Susanne Bier', None];['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson']
36;Hôtel Transylvanie 2;2015;Tous publics;89;['Animation', ' Adventure', ' Comedy            '];6.6;44;Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.;['Genndy Tartakovsky', None];['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James']
37;The Invitation;I) (2015;16;100;['Drama', ' Horror', ' Mystery            '];6.6;74;A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.;['Karyn Kusama', None];['Logan Marshall-Green', 'Emayatzy Corinealdi', 'Michiel Huisman', 'Tammy Blanchard']
38;Ne dis rien;2022;12;97;['Drama', ' Horror', ' Thriller            '];6.6;78;A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.;['Christian Tafdrup', None];['Morten Burian', 'Sidsel Siem Koch', 'Fedja van Huêt', 'Karina Smulders']
39;Père Noël Origines;2010;R;84;['Adventure', ' Fantasy', ' Horror            '];6.6;71;In the depths of the Korvatunturi mountains, 486 meters deep, lies the closest ever guarded secret of Christmas. The time has come to dig it up. This Christmas everyone will believe in Santa Claus.;['Jalmari Helander', None];['Jorma Tommila', 'Onni Tommila', 'Peeter Jakobi', 'Tommi Korpela']
40;X;II) (2022;16;105;['Horror', ' Mystery', ' Thriller            '];6.6;79;In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.;['Ti West', None];['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi']
41;The Loved Ones;2009;16;84;['Crime', ' Horror            '];6.6;73;When Brent turns down his classmate Lola's invitation to the prom, she concocts a wildly violent plan for revenge.;['Sean Byrne', None];['Xavier Samuel', 'Robin McLeavy', 'John Brumpton', 'Richard Wilson']
42;Jusqu'en enfer;2009;12;99;['Horror            '];6.6;83;A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.;['Sam Raimi', None];['Alison Lohman', 'Justin Long', 'Ruth Livier', 'Lorna Raver']
43;Saw 2;2005;16;93;['Horror', ' Mystery            '];6.6;40;A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.;['Darren Lynn Bousman', None];['Donnie Wahlberg', 'Beverley Mitchell', 'Franky G', 'Emmanuelle Vaugier']
44;30 jours de nuit;2007;12;113;['Action', ' Adventure', ' Horror            '];6.6;53;After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.;['David Slade', None];['Josh Hartnett', 'Melissa George', 'Danny Huston', 'Ben Foster']
45;May;2002;16;93;['Comedy', ' Drama', ' Horror            '];6.6;58;A socially awkward veterinary assistant with a lazy eye and obsession with perfection descends into depravity after developing a crush on a boy with perfect hands.;['Lucky McKee', None];['Angela Bettis', 'Jeremy Sisto', 'Anna Faris', 'James Duval']
46;Blood: The Last Vampire;2000;12;48;['Animation', ' Action', ' Horror            '];6.6;44;Saya is a Japanese vampire slayer whose next mission is in a high school on a US military base in 1960s Japan, where she poses as a student. She uses a katana/samurai sword to kill vampires.;['Hiroyuki Kitakubo', None];['Yûki Kudô', 'Saemi Nakamura', 'Joe Romersa', 'Stuart Robinson']
47;Apparences;2000;12;130;['Drama', ' Horror', ' Mystery            '];6.6;51;The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.;['Robert Zemeckis', None];['Harrison Ford', 'Michelle Pfeiffer', 'Katharine Towne', 'Miranda Otto']
48;Resident Evil;2002;12;100;['Action', ' Horror', ' Sci-Fi            '];6.6;33;A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.;['Paul W.S. Anderson', None];['Milla Jovovich', 'Michelle Rodriguez', 'Ryan McCluskey', 'Oscar Pearce']
49;Event Horizon : Le Vaisseau de l'au-delà;1997;12;96;['Horror', ' Sci-Fi', ' Thriller            '];6.6;35;A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.;['Paul W.S. Anderson', None];['Laurence Fishburne', 'Sam Neill', 'Kathleen Quinlan', 'Joely Richardson']
0;La mort vous va si bien;1992;Tous publics;104;['Comedy', ' Fantasy', ' Horror            '];6.6;56;When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.;['Robert Zemeckis', None];['Meryl Streep', 'Bruce Willis', 'Goldie Hawn', 'Isabella Rossellini']
1;Jeu d'enfant;1988;13;87;['Horror', ' Thriller            '];6.6;58;A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.;['Tom Holland', None];['Catherine Hicks', 'Chris Sarandon', 'Alex Vincent', 'Brad Dourif']
2;Le blob;1988;12;95;['Horror', ' Sci-Fi', ' Thriller            '];6.6;-1;A deadly entity from space crashes near a small town and begins consuming everyone in its path. Panic ensues as shady government scientists try to contain the horrific creature.;['Chuck Russell', None];['Shawnee Smith', 'Kevin Dillon', 'Donovan Leitch Jr.', 'Jeffrey DeMunn']
3;Les Griffes du cauchemar;1987;13;96;['Fantasy', ' Horror            '];6.6;49;A psychiatrist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.;['Chuck Russell', None];['Heather Langenkamp', 'Robert Englund', 'Craig Wasson', 'Patricia Arquette']
4;From Beyond: Aux portes de l'au-delà;1986;12;85;['Horror', ' Sci-Fi            '];6.6;60;A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.;['Stuart Gordon', None];['Jeffrey Combs', 'Barbara Crampton', 'Ted Sorel', 'Ken Foree']
5;La compagnie des loups;1984;Tous publics;95;['Drama', ' Fantasy', ' Horror            '];6.6;69;A teenage girl in a country manor falls asleep while reading a magazine, and has a disturbing dream involving wolves prowling the woods below her bedroom window.;['Neil Jordan', None];['Sarah Patterson', 'Angela Lansbury', 'David Warner', 'Graham Crowden']
6;Les prédateurs;1983;12;97;['Drama', ' Horror            '];6.6;52;A love triangle develops between a beautiful yet dangerous vampire (Catherine Deneuve), her cellist companion (David Bowie), and a gerontologist (Susan Sarandon).;['Tony Scott', None];['Catherine Deneuve', 'David Bowie', 'Susan Sarandon', 'Cliff De Young']
7;Phantasm;1979;16;89;['Horror', ' Sci-Fi            '];6.6;72;A teenage boy and his friends face off against a mysterious grave robber, known only as the Tall Man, who employs a lethal arsenal of unearthly weapons.;['Don Coscarelli', None];['A. Michael Baldwin', 'Bill Thornbury', 'Reggie Bannister', 'Kathy Lester']
