;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
24;Sweeney Todd, le diabolique barbier de Fleet Street;2007;12;116;['Drama', ' Horror', ' Musical            '];7.3;83;The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.;['Tim Burton', None];['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman', 'Timothy Spall']
25;Les noces funèbres;2005;Tous publics;77;['Animation', ' Drama', ' Family            '];7.3;83;When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.;['    Directors:', 'Tim Burton, ', 'Mike Johnson', None];['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson', 'Tracey Ullman']
26;Hercule;1997;Tous Public;93;['Animation', ' Adventure', ' Comedy            '];7.3;74;The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.;['    Directors:', 'Ron Clements, ', 'John Musker', None];['Tate Donovan', 'Susan Egan', 'James Woods', 'Barbara Barrie']
27;Le Petit Grille-pain courageux;1987;Tous Public;90;['Animation', ' Adventure', ' Family            '];7.3;-1;A group of dated appliances embark on a journey to the city to find their master after being abandoned in a cabin in the woods.;['Jerry Rees', None];['Jon Lovitz', 'Timothy Stack', 'Timothy E. Day', 'Thurl Ravenscroft']
28;Labyrinthe;1986;Tous publics;101;['Adventure', ' Family', ' Fantasy            '];7.3;50;Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.;['Jim Henson', None];['David Bowie', 'Jennifer Connelly', 'Toby Froud', 'Shelley Thompson']
29;Jesus Christ Superstar;1973;Tous publics;106;['Drama', ' History', ' Musical            '];7.3;64;Film version of the musical stage play, presenting the last few weeks of Christ's life told in an anachronistic manner.;['Norman Jewison', None];['Ted Neeley', 'Carl Anderson', 'Yvonne Elliman', 'Barry Dennen']
30;Funny Girl;1968;Tous publics;151;['Biography', ' Comedy', ' Drama            '];7.3;89;The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein.;['William Wyler', None];['Barbra Streisand', 'Omar Sharif', 'Kay Medford', 'Anne Francis']
31;La Belle et le Clochard;1955;Tous publics;76;['Animation', ' Adventure', ' Comedy            '];7.3;78;The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.;['    Directors:', 'Clyde Geronimi, ', 'Wilfred Jackson, ', 'Hamilton Luske, ', 'Jack Cutting', None];['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson']
32;Les sept femmes de Barberousse;1954;Tous Public;102;['Comedy', ' Drama', ' Musical            '];7.3;75;In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.;['Stanley Donen', None];['Jane Powell', 'Howard Keel', 'Jeff Richards', 'Russ Tamblyn']
33;Les Aventures de Peter Pan;1953;Tous publics;77;['Animation', ' Adventure', ' Family            '];7.3;76;Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.;['    Directors:', 'Clyde Geronimi, ', 'Wilfred Jackson, ', 'Hamilton Luske, ', 'Jack Kinney', None];['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried', 'Bill Thompson']
34;Cendrillon;1950;Tous publics;74;['Animation', ' Family', ' Fantasy            '];7.3;85;When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.;['    Directors:', 'Clyde Geronimi, ', 'Wilfred Jackson, ', 'Hamilton Luske', None];['Ilene Woods', 'James MacDonald', 'Eleanor Audley', 'Verna Felton']
35;Un jour à New-York;1949;Tous publics;98;['Comedy', ' Musical', ' Romance            '];7.3;71;Three sailors wreak havoc as they search for love during a whirlwind 24-hour leave in New York City.;['    Directors:', 'Stanley Donen, ', 'Gene Kelly', None];['Gene Kelly', 'Frank Sinatra', 'Betty Garrett', 'Ann Miller']
36;Parade de printemps;1948;Tous Public;103;['Musical', ' Romance            '];7.3;-1;A nightclub performer hires a naive chorus girl to become his new dance partner to make his former partner jealous and to prove he can make any partner a star.;['Charles Walters', None];['Judy Garland', 'Fred Astaire', 'Peter Lawford', 'Ann Miller']
37;L'amour chante et danse;1942;Tous Public;100;['Comedy', ' Drama', ' Music            '];7.3;-1;At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.;['    Directors:', 'Mark Sandrich, ', 'Robert Allen', None];['Bing Crosby', 'Fred Astaire', 'Marjorie Reynolds', 'Virginia Dale']
38;42ème rue;1933;Tous publics;89;['Comedy', ' Drama', ' Musical            '];7.3;83;When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show.;['Lloyd Bacon', None];['Warner Baxter', 'Bebe Daniels', 'George Brent', 'Ruby Keeler']
39;West Side Story;2021;Tous publics;156;['Crime', ' Drama', ' Musical            '];7.2;85;An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.;['Steven Spielberg', None];['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose', 'David Alvarez']
