;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
15;La vie aquatique;2004;Tous publics;119;['Action', ' Adventure', ' Comedy            '];7.2;62;With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.;['Wes Anderson', None];['Bill Murray', 'Owen Wilson', 'Anjelica Huston', 'Cate Blanchett']
16;King Kong;2005;Tous publics avec avertissement;187;['Action', ' Adventure', ' Drama            '];7.2;81;A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.;['Peter Jackson', None];['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann']
17;La science des rêves;2006;Tous publics;105;['Comedy', ' Drama', ' Fantasy            '];7.2;70;A man entranced by his dreams and imagination is love-struck with a French woman and feels he can show her his world.;['Michel Gondry', None];['Gael García Bernal', 'Charlotte Gainsbourg', 'Miou-Miou', 'Alain Chabat']
18;Le royaume des chats;2002;Tous Public;75;['Animation', ' Adventure', ' Comedy            '];7.2;70;After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life.;['Hiroyuki Morita', None];['Chizuru Ikewaki', 'Yoshihiko Hakamada', 'Aki Maeda', 'Takayuki Yamada']
19;Le fantôme de l'opéra;2004;Tous Public;143;['Drama', ' Musical', ' Romance            '];7.2;40;A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.;['Joel Schumacher', None];['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson']
20;Lantana;2001;Tous publics;121;['Drama', ' Mystery', ' Romance            '];7.2;84;The relationships of four couples unravel after the discovery of a young woman's body in Lantana bush in suburban Sydney.;['Ray Lawrence', None];['Anthony LaPaglia', 'Geoffrey Rush', 'Rachael Blake', 'Kerry Armstrong']
21;Avant la nuit;2000;Tous publics;133;['Biography', ' Drama', ' Romance            '];7.2;85;The life of Cuban poet and novelist, Reinaldo Arenas.;['Julian Schnabel', None];['Javier Bardem', 'Johnny Depp', 'Olatz López Garmendia', 'Giovani Florido']
22;Love & Basketball;2000;Tous publics;124;['Drama', ' Romance', ' Sport            '];7.2;70;Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.;['Gina Prince-Bythewood', None];['Sanaa Lathan', 'Omar Epps', 'Glenndon Chatman', 'Jess Willard']
23;Retour à Cold Mountain;2003;Tous publics;154;['Adventure', ' Drama', ' History            '];7.2;73;In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.;['Anthony Minghella', None];['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins']
24;Virgin Suicides;1999;Tous publics;97;['Drama', ' Romance            '];7.2;76;A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.;['Sofia Coppola', None];['Kirsten Dunst', 'Josh Hartnett', 'James Woods', 'Kathleen Turner']
25;Coup de foudre à Notting Hill;1999;Tous publics;124;['Comedy', ' Drama', ' Romance            '];7.2;68;The life of a simple bookshop owner changes when he meets the most famous film star in the world.;['Roger Michell', None];['Hugh Grant', 'Julia Roberts', 'Richard McCabe', 'Rhys Ifans']
26;Rencontre avec Joe Black;1998;Tous publics;178;['Drama', ' Fantasy', ' Romance            '];7.2;43;Death, who takes the form of a young man killed in an accident, asks a media mogul to act as his guide to teach him about life on Earth and, in the process, he falls in love with the mogul's daughter.;['Martin Brest', None];['Brad Pitt', 'Anthony Hopkins', 'Claire Forlani', 'Jake Weber']
